ID,thumbnail_URL,img_URL
403198,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30010970.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30010970.jpg&width=720&height=720&cache=yes
403292,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30011064.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30011064.jpg&width=720&height=720&cache=yes
405764,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30014346.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30014346.jpg&width=720&height=720&cache=yes
406016,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30014598.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30014598.jpg&width=720&height=720&cache=yes
408471,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025054.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025054.jpg&width=720&height=720&cache=yes
408705,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025291.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025291.jpg&width=720&height=720&cache=yes
408732,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025318.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025318.jpg&width=720&height=720&cache=yes
409215,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025801.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025801.jpg&width=720&height=720&cache=yes
409262,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025853.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30025853.jpg&width=720&height=720&cache=yes
409690,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026243.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026243.jpg&width=720&height=720&cache=yes
409745,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026333.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026333.jpg&width=720&height=720&cache=yes
410022,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026612.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026612.jpg&width=720&height=720&cache=yes
410039,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026629.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026629.jpg&width=720&height=720&cache=yes
410125,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026715.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026715.jpg&width=720&height=720&cache=yes
410347,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026937.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30026937.jpg&width=720&height=720&cache=yes
413166,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30029838.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30029838.jpg&width=720&height=720&cache=yes
413541,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30030213.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30030213.jpg&width=720&height=720&cache=yes
413567,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30030239.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30030239.jpg&width=720&height=720&cache=yes
414151,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30031218.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30031218.jpg&width=720&height=720&cache=yes
415545,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30032628.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30032628.jpg&width=720&height=720&cache=yes
416534,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30034801.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30034801.jpg&width=720&height=720&cache=yes
416787,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30035654.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30035654.jpg&width=720&height=720&cache=yes
416854,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30035721.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30035721.jpg&width=720&height=720&cache=yes
417914,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30037577.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30037577.jpg&width=720&height=720&cache=yes
417949,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30037688.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30037688.jpg&width=720&height=720&cache=yes
418787,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038549.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038549.jpg&width=720&height=720&cache=yes
418809,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038571.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038571.jpg&width=720&height=720&cache=yes
418876,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038638.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038638.jpg&width=720&height=720&cache=yes
419078,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038842.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30038842.jpg&width=720&height=720&cache=yes
419414,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30039181.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30039181.jpg&width=720&height=720&cache=yes
